DateKey,Date,Month,Quarter,Year
20250722,22-07-2025,July,Q3,2025
20250714,14-07-2025,July,Q3,2025
20251130,30-11-2025,November,Q4,2025
20250306,06-03-2025,March,Q1,2025
20251127,27-11-2025,November,Q4,2025
20250502,02-05-2025,May,Q2,2025
20250901,01-09-2025,September,Q3,2025
20250511,11-05-2025,May,Q2,2025
20250324,24-03-2025,March,Q1,2025
20250626,26-06-2025,June,Q2,2025
20251218,18-12-2025,December,Q4,2025
20250930,30-09-2025,September,Q3,2025
20250319,19-03-2025,March,Q1,2025
20250925,25-09-2025,September,Q3,2025
20250427,27-04-2025,April,Q2,2025
20250815,15-08-2025,August,Q3,2025
20250329,29-03-2025,March,Q1,2025
20250204,04-02-2025,February,Q1,2025
20250627,27-06-2025,June,Q2,2025
20251224,24-12-2025,December,Q4,2025
20250824,24-08-2025,August,Q3,2025
20250214,14-02-2025,February,Q1,2025
20250517,17-05-2025,May,Q2,2025
20250304,04-03-2025,March,Q1,2025
20250106,06-01-2025,January,Q1,2025
20250206,06-02-2025,February,Q1,2025
20250702,02-07-2025,July,Q3,2025
20250606,06-06-2025,June,Q2,2025
20250417,17-04-2025,April,Q2,2025
20251115,15-11-2025,November,Q4,2025
20250602,02-06-2025,June,Q2,2025
20250508,08-05-2025,May,Q2,2025
20250718,18-07-2025,July,Q3,2025
20251207,07-12-2025,December,Q4,2025
20250430,30-04-2025,April,Q2,2025
20251031,31-10-2025,October,Q4,2025
20250105,05-01-2025,January,Q1,2025
20250504,04-05-2025,May,Q2,2025
20250910,10-09-2025,September,Q3,2025
20250315,15-03-2025,March,Q1,2025
20250912,12-09-2025,September,Q3,2025
20251231,31-12-2025,December,Q4,2025
20251108,08-11-2025,November,Q4,2025
20251208,08-12-2025,December,Q4,2025
20251209,09-12-2025,December,Q4,2025
20250904,04-09-2025,September,Q3,2025
20250716,16-07-2025,July,Q3,2025
20250116,16-01-2025,January,Q1,2025
20251129,29-11-2025,November,Q4,2025
20250916,16-09-2025,September,Q3,2025
20250201,01-02-2025,February,Q1,2025
20250521,21-05-2025,May,Q2,2025
20251017,17-10-2025,October,Q4,2025
20251013,13-10-2025,October,Q4,2025
20251114,14-11-2025,November,Q4,2025
20250422,22-04-2025,April,Q2,2025
20250514,14-05-2025,May,Q2,2025
20250425,25-04-2025,April,Q2,2025
20250727,27-07-2025,July,Q3,2025
20250108,08-01-2025,January,Q1,2025
20250113,13-01-2025,January,Q1,2025
20250419,19-04-2025,April,Q2,2025
20250717,17-07-2025,July,Q3,2025
20250918,18-09-2025,September,Q3,2025
20250809,09-08-2025,August,Q3,2025
20250112,12-01-2025,January,Q1,2025
20250928,28-09-2025,September,Q3,2025
20250407,07-04-2025,April,Q2,2025
20250325,25-03-2025,March,Q1,2025
20251124,24-11-2025,November,Q4,2025
20250330,30-03-2025,March,Q1,2025
20251112,12-11-2025,November,Q4,2025
20250704,04-07-2025,July,Q3,2025
20251005,05-10-2025,October,Q4,2025
20250305,05-03-2025,March,Q1,2025
20251113,13-11-2025,November,Q4,2025
20251107,07-11-2025,November,Q4,2025
20250515,15-05-2025,May,Q2,2025
20250401,01-04-2025,April,Q2,2025
20250213,13-02-2025,February,Q1,2025
20251002,02-10-2025,October,Q4,2025
20250308,08-03-2025,March,Q1,2025
20251125,25-11-2025,November,Q4,2025
20251023,23-10-2025,October,Q4,2025
20250409,09-04-2025,April,Q2,2025
20250624,24-06-2025,June,Q2,2025
20250424,24-04-2025,April,Q2,2025
20250929,29-09-2025,September,Q3,2025
20250922,22-09-2025,September,Q3,2025
20250830,30-08-2025,August,Q3,2025
20250107,07-01-2025,January,Q1,2025
20250224,24-02-2025,February,Q1,2025
20250202,02-02-2025,February,Q1,2025
20250730,30-07-2025,July,Q3,2025
20250828,28-08-2025,August,Q3,2025
20250127,27-01-2025,January,Q1,2025
20250510,10-05-2025,May,Q2,2025
20250428,28-04-2025,April,Q2,2025
20250531,31-05-2025,May,Q2,2025
20250412,12-04-2025,April,Q2,2025
20250414,14-04-2025,April,Q2,2025
20250203,03-02-2025,February,Q1,2025
20250812,12-08-2025,August,Q3,2025
20251007,07-10-2025,October,Q4,2025
20250706,06-07-2025,July,Q3,2025
20250907,07-09-2025,September,Q3,2025
20251230,30-12-2025,December,Q4,2025
20251206,06-12-2025,December,Q4,2025
20250228,28-02-2025,February,Q1,2025
20250322,22-03-2025,March,Q1,2025
20250303,03-03-2025,March,Q1,2025
20251019,19-10-2025,October,Q4,2025
20251116,16-11-2025,November,Q4,2025
20250612,12-06-2025,June,Q2,2025
20250120,20-01-2025,January,Q1,2025
20251012,12-10-2025,October,Q4,2025
20251229,29-12-2025,December,Q4,2025
20250227,27-02-2025,February,Q1,2025
20250712,12-07-2025,July,Q3,2025
20251010,10-10-2025,October,Q4,2025
20251102,02-11-2025,November,Q4,2025
20250618,18-06-2025,June,Q2,2025
20250119,19-01-2025,January,Q1,2025
20251119,19-11-2025,November,Q4,2025
20251103,03-11-2025,November,Q4,2025
20250913,13-09-2025,September,Q3,2025
20251126,26-11-2025,November,Q4,2025
20251211,11-12-2025,December,Q4,2025
20250209,09-02-2025,February,Q1,2025
20250331,31-03-2025,March,Q1,2025
20250222,22-02-2025,February,Q1,2025
20251202,02-12-2025,December,Q4,2025
20250519,19-05-2025,May,Q2,2025
20251105,05-11-2025,November,Q4,2025
20250605,05-06-2025,June,Q2,2025
20250915,15-09-2025,September,Q3,2025
20250128,28-01-2025,January,Q1,2025
20251214,14-12-2025,December,Q4,2025
20250416,16-04-2025,April,Q2,2025
20250807,07-08-2025,August,Q3,2025
20251217,17-12-2025,December,Q4,2025
20250609,09-06-2025,June,Q2,2025
20250123,23-01-2025,January,Q1,2025
20250701,01-07-2025,July,Q3,2025
20250530,30-05-2025,May,Q2,2025
20250125,25-01-2025,January,Q1,2025
20250817,17-08-2025,August,Q3,2025
20251117,17-11-2025,November,Q4,2025
20250415,15-04-2025,April,Q2,2025
20250115,15-01-2025,January,Q1,2025
20251121,21-11-2025,November,Q4,2025
